日付,コード,和名,タイトル,区分,ランク,枚数,前日終,始値,高値,安値,現在値,出来高,高値,終値,始値,300,合計,リアル,,もうすぐストップ高TEST,,もうすぐストップ高,合計,1,2160,ジーエヌアイグループ,東マ,制度,医薬品,42804,15:00:00,715,86,,,,,,銘柄,,,自社株買い,逆日歩,信用倍率,時価総額,決算月,,2017/3/11,20AVG出来高,20AVG出来高指数300以上OK,配当利回り（実績),,,,,,,,,,,,,,,,,,,,,,,,,,,,決算期,会計方式,決算発表日,決算月数,売上高,営業利益,経常利益,当期利益,EPS（一株当たり利益）,調整一株当たり利益,BPS（一株当たり純資産）,総資産,自己資本,資本金,有利子負債,自己資本比率,ROA（総資産利益率）,ROE（自己資本利益率）,総資産経常利益率,各項目の意味についてはこちらをご覧下さい。,決算期,会計方式,決算発表日,決算月数,売上高,営業利益,経常利益,当期利益,EPS（一株当たり利益）,調整一株当たり利益,BPS（一株当たり純資産）,総資産,自己資本,資本金,有利子負債,自己資本比率,ROA（総資産利益率）,ROE（自己資本利益率）,総資産経常利益率,外国人株比率   ,輸出比率   ,総数,,,,,変動率3ヶ月,半年,１年,２年,,<浮動株>,,<特定株>,営業CF,投資CF,財務CF,現金等,営業CF前期,投資CF前期,財務CF前期,現金等前期,,,,,,,,
2017/3/13,1942,関電工,増配,1,,1000,974,980,988,975,982,318240,1000,999,1013,"30,700","94,300","30,700","94,300",,0,,0,,,,,,,,,,,建設業,"1,000",,.t&,東証1部,300銘柄,3,,,,12,"190,918",3,2017/2/25 12:24,977,4.83,0.0044919,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/15,6336,石井表記,もうすぐストップ高TEST,2,1,600,620,625,719,621,712,82846,719,645,655,"-40,328","53,972",,"94,300","-40,328","-40,328",,0,1,"6,336",石井表記,東2,制度,機械,"42,809",9:52:00,715,95,機械,100,,.t&,東証2部,,,,,,0,"4,840",1,2017/3/11 10:16,592,22215,13.15128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/16,4576,（株）デ・ウエスタン・セラピテクス研究所,もうすぐストップ高TEST,2,4,700,573,640,655,613,625,1375471,655,627,612,"-10,700","43,272",,"94,300","-10,700","-51,028",,0,4,"4,576",医薬品,1,636,11,"2,141,700",473.0～673.0,63,94,医薬品,100,,.t&,JASDAQグロース,,,,,,235,"16,167",12,2017/3/11 11:03,573,2438315,1592.219695,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/16,4813,ＡＣＣＥＳＳ,もうすぐストップ高TEST,2,5,500,765,836,894,836,848,4404016,894,839,850,879,"44,151",,"94,300",879,"-50,149",,0,5,"4,813",サービス業,1,856,12,"5,110,000",615.0～915.0,61,36,情報・通信,100,,.t&,マザーズ,,,,,,43,"30,295",1,2017/3/11 10:53,765,881630,679.73673,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/21,4813,ＡＣＣＥＳＳ,もうすぐストップ高TEST,2,1,500,849,915,982,913,955,2578033,985,955,940,"-8,153","35,998",,"94,300","-8,153","-58,302",,0,1,"4,813",サービス業,0,963,13,"2,654,900",699.0～999.0,76,41,情報・通信,100,,.t&,マザーズ,,,,,,43,"30,295",1,2017/3/11 10:53,839,881630,679.73673,0,602,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年1月期,日本方式,42444,12か月,6837,-114,27,-1318,-34.19,---,749.24,30781,28905,31399,---,0.939,-0.0414,-0.0444,0.0008,,2015年1月期,日本方式,42076,12か月,7520,-1058,-873,-2505,-65.05,---,789.19,32922,30401,31391,---,0.923,-0.0732,-0.0795,-0.0255,,,39293100,,,,,0.24383917,0.808943089,0.788235294,0.280230326,0.219,0.271,0.018,0.331,1783,-165,-2182,22176,2121,2172,-279,22342,,,,,,,,
2017/3/21,9466,アイドマＭＣ,増配,,,700,769,754,780,743,780,63096,814,804,781,400,"36,398",400,"94,700",,"-58,302",,0,,,,,,,,,,,情報・通信,100,,.t&,マザーズ,,,,,,0,"10,924",3,2017/3/11 7:40,774,154290,124.66632,0.62,578,,,,,,,,,,,,,,,,,,,,,,,,,,前期,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,13520000,,,,,0.36509901,0.918674699,0.926928281,0.926928281,0.012,0.157, ‥%,0.81,616,-38,851,2107,387,-163,-64,677,,,,,,,,
2017/3/21,5982,マルゼン,増配,2,,1000,1216,1215,1238,1213,1238,8503,1250,1223,1223,"-15,300","21,098","-15,300","79,400",,"-58,302",,0,,,,,,,,,,,金属製品,"1,000",,.t&,東証2部,,,,,,0,"24,211",2,2017/3/11 10:29,1215,9850,12.0564,1.63,1021,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年2月期,日本方式,42468,12か月,47369,3777,4125,2497,133.78,---,1512.25,46264,28235,3164,1300,0.61,0.0559,0.0921,0.0923,,2015年2月期,日本方式,42104,12か月,44258,3653,3987,2244,120.2,---,1392.83,43150,26006,3164,1500,0.603,0.0538,0.0902,0.0957,,,19780000,,,,,0.196895425,0.685294118,0.751740139,0.751740139,0.137,0.219,0.003,0.709,3603,-413,-917,10056,2899,-258,-961,7783,,,,,,,,
2017/3/23,3561,(株)力の源ホールディングス,もうすぐストップ高TEST,,2,200,2630,2475,3060,2471,2942,4749288,0,3130,3245,"51,196","72,293",,"79,400","51,196","-7,107",,0,2,"3,561",サービス業,0,"3,020",15,"1,655,100","2,130.0～3,130.0",78,NA,小売業,100,,,マザーズ,,,,,,,---百万円（---） ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/23,3782,（株）ディー・ディー・エス,もうすぐストップ高,2,3,400,966,1090,1095,1038,1073,2271416,1105,1099,1075,500,"72,793",,"79,400",,"-7,107",500,500,3,"3,782",サービス業,0,"1,059",10,"2,101,400","816.0～1,116.0",62,94,情報・通信,100,,.t&,マザーズ,,,,,,465,"32,845",12,2017/3/18 11:18,945,5324870,4669.91099,0,307,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年12月期,日本方式,42773,12か月,1196,59,81,74,2.02,1.9,37.58,1940,1401,2923,---,0.722,0.0359,0.0567,0.0393,,2015年12月期,日本方式,42412,12か月,605,-560,-513,-550,-15.7,---,33.67,2179,1207,2869,250,0.554,-0.2485,-0.3965,-0.2318,,,37451300,,,,,1.256556442,0.540301151,0.540301151,0.545534151,0.004,0.023,0,0.181,-42,-12,400,427,-6,-318,386,78,,,,,,,,
2017/3/23,9325,(株)ファイズ,もうすぐストップ高TEST,,4,100,4100,4380,4615,4135,4425,2945754,4785,4265,4180,"-27,984","44,810",,"79,400","-27,984","-35,090",,500,4,"9,325",倉庫・運輸関連,0,"4,530",10,"660,700","3,400.0～4,800.0",61,NA,倉庫・運輸関連業,100,,,マザーズ,,,,,,0,"8,955",3,2017/3/18 7:52,3400,1195800,4388.586,0,,,,,,,,,,,,,,,,,,,,,,,,,,,前期,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,2440000,,,,,0.253405995,0.053763441,0.053763441,0.053763441,,,,,,,,,,,,,,,,,,,,
2017/3/23,6254,野村マイクロ・サイエンス,もうすぐストップ高TEST,2,5,400,975,1030,1110,1015,1066,959998,1110,1003,992,"-35,009","9,801",,"79,400","-35,009","-70,099",,500,5,"6,254",機械,0,"1,069",10,"901,800","825.0～1,125.0",63,104,機械,100,,.t&,JASDAQスタンダード,,,,,,"2,534","9,391",3,2017/3/18 10:23,948,1250660,1156.8605,1.08,277,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年3月期,日本方式,42503,12か月,17767,316,193,151,17.01,---,776.42,15213,6901,2236,4003,0.454,0.0102,0.0215,0.0131,,2015年3月期,日本方式,42138,12か月,12111,-549,-257,-983,-110.68,---,804.07,14279,7146,2236,3669,0.5,-0.0657,-0.1324,-0.0172,,,10152000,,,,,1.050810811,0.668680765,0.669014085,0.669346734,0.036,0.125,0,0.543,749,-463,431,4508,1285,-73,-1197,3510,,,,,,,,
2017/3/24,9691,両毛システムズ,もうすぐストップ高TEST,2,1,400,983,985,1129,985,1085,14848,1129,1086,1176,"41,635","51,436",,"79,400","41,635","-28,464",,500,1,"9,691",サービス業,0,"1,089",11,"14,000","833.0～1,133.0",71,30,情報・通信,100,,.t&,JASDAQスタンダード,,,,,,0,"3,384",3,2017/3/18 8:35,975,1905,1.83642,1.76,768,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年3月期,日本方式,42500,12か月,13043,587,614,376,107.64,---,1937.69,11148,6779,1966,170,0.608,0.0337,0.0548,0.0551,,2015年3月期,日本方式,42131,12か月,11436,515,547,280,80.28,---,1982.31,11148,6936,1966,342,0.622,0.0264,0.0421,0.0515,,,3510000,,,,,0.158713693,0.9921875,0.992882562,0.355414013,0.001,0.145,0,0.722,56,-161,-154,906,360,-535,660,1038,,,,,,,,
2017/3/27,6246,（株）テクノスマート,もうすぐストップ高TEST,1_ 新規売り,3,600,691,731,757,716,751,183271,790,754,750,-966,"50,470",,"79,400",-966,"-29,430",,500,3,"6,246",機械,0,752,9,"247,900",591.0～791.0,61,49,機械,100,,.t&,東証2部,,,,,,0,"7,456",3,2017/3/18 10:23,681,108785,74.952865,1.74,423,,,,,,,,,,,,,,,,,,,,,,,,,,前期,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,10821720,,,,,0.394775036,0.630218688,0.669626998,0.670212766,0.103,0.316,0.005,0.451,-720,-37,-186,4006,1088,-55,147,4951,,,,,,,,
2017/3/28,5659,日本精線,もうすぐストップ高TEST,1,4,1000,672,680,755,680,731,700053,755,719,713,"-12,612","37,858",,"79,400","-12,612","-42,042",,500,4,"5,659",鉄鋼業,0,742,10,"962,000",572.0～772.0,70,23,鉄鋼,"1,000",,.t&,東証1部,,,,,,5,"19,704",3,2017/3/18 10:36,610,18950,11.50265,2.14,491,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年3月期,日本方式,42487,12か月,32162,2470,2530,1621,50.77,---,792.71,34532,24316,5000,684,0.704,0.046,0.0661,0.0718,,2015年3月期,日本方式,42122,12か月,33530,2601,2655,1393,43.06,---,763.21,35944,24703,5000,1076,0.687,0.0398,0.0579,0.0758,,,32461468,,,,,0.179571664,0.831818182,0.859315589,0.68902439,0.073,0.239,0.039,0.614,2835,-1602,-505,7462,1502,-1911,-371,6619,,,,,,,,
2017/3/28,8518,日本アジア投資,もうすぐストップ高TEST,2,2,900,424,420,486,420,473,621315,486,451,454,"-20,385","17,474",,"79,400","-20,385","-62,426",,500,2,"8,518",その他金融,0,474,12,"1,327,700",344.0～504.0,63,40,証券業,100,,.t&,東証1部,,,,,,0,"8,084",3,2017/3/18 9:03,427,231875,104.8075,0,353,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年3月期,日本方式,42500,12か月,4596,-123,335,707,49.96,48.69,274.16,27196,4564,5268,19118,0.168,0.0244,0.188,0.0116,,2015年3月期,日本方式,42135,12か月,6935,533,389,-731,-6.16,---,23.35,30674,2959,4299,21203,0.096,-0.023,-0.2914,0.0122,,,17884392,,,,,1.015486726,0.247474747,0.34167894,0.37394958,0.104,0.413,0.012,0.195,1196,277,-2838,5554,738,396,-4056,6813,,,,,,,,
2017/3/29,2163,（株）アルトナー,もうすぐストップ高TEST,2,2,400,1124,1175,1361,1160,1276,236380,1389,1307,1325,"18,901","36,374",,"79,400","18,901","-43,526",,500,2,"2,163",サービス業,0,"1,315",17,"187,600","824.0～1,424.0",64,63,サービス業,100,,.t&,JASDAQスタンダード,,,,,,0,"5,585",1,2017/3/25 12:30,1150,54300,57.0693,2.47,1193,,,,,,,,,,,,,,,,,,,,,,,,,,前期,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,5313960,,,,,0.430066603,0.973684211,0.975438596,0.980555556,0.001,0.163,0,0.765,339,-3,-199,850,319,-4,-175,714,0.338746662,0.620447399,0.613035939,,,,,
2017/3/30,2930,達人,もうすぐストップ高TEST,,2,600,647,663,734,663,700,921773,747,747,837,"97,557","133,932",,"79,400","97,557","54,032",,500,2,"2,930",食品,0,716,11,"1,313,700",547.0～747.0,69,76,食料品,100,,.t&,"東証1部,札幌",,,,,,9,"14,099",2,2017/3/25 8:24,1149,579225,736.7742,0.75,456,,,,,,,,,,,,,,,,,,,,,,,,,,前期,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,11084000,,,,,0.683962264,0.938189845,0.938189845,0.941391941,0.001,0.15,0,0.819,168,-8,308,748,82,12,-2,280,0.202294387,0.713107226,0.721133131,,,,,
2017/3/30,9325,(株)ファイズ,もうすぐストップ高,,3,100,4395,4555,4990,4480,4900,2763242,5100,5100,5700,"79,700","213,632",,"79,400",,"54,032","79,700","80,200",3,"9,325",倉庫・運輸関連,0,"4,880",11,"560,200","3,695.0～5,100.0",69,NA,倉庫・運輸関連業,100,,,マザーズ,,,,,,0,"10,163",3,2017/3/25 7:50,4165,1017100,4236.2215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,前期,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,2440000,,,,,0.356542617,0.582491582,0.582491582,0.582491582,,,,,,,,,,,,,0.426374043,0.539747054,0.487604163,,,,,
2017/3/30,6537,ＷＡＳＨハウス(株),もうすぐストップ高TEST,,5,100,5150,5290,5800,5260,5720,1226230,5850,5830,6050,"28,546","242,178",,"79,400","28,546","82,578",,"80,200",5,"6,537",サービス業,0,"5,750",12,"212,500","4,150.0～6,150.0",60,67,サービス業,100,,,マザーズ福岡Q-Board,,,,,,87,"32,653",12,2017/3/25 7:53,9620,124210,1188.6897,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,前期,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,3412000,,,,,0.492163009,1.097053726,1.097053726,1.097053726,,,,,,,,,,,,,0.426374043,0.539747054,0.487604163,,,,,
2017/3/30,2436,共同ピーアール,もうすぐストップ高TEST,2,1,300,1401,1521,1672,1450,1612,36963,1672,1450,1440,"-53,650","188,528",,"79,400","-53,650","28,928",,"80,200",1,"2,436",サービス業,0,"1,640",17,"23,000","1,101.0～1,701.0",80,59,サービス業,100,,.t&,JASDAQスタンダード,,,,,,0,"1,942",12,2017/3/25 12:19,1418,15155,23.353855,0,725,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年12月期,日本方式,42779,12か月,4099,180,180,163,132.87,132.87,634.96,1784,781,419,426,0.438,0.0809,0.232,0.0893,,2015年12月期,日本方式,42412,12か月,3704,131,126,108,87.87,---,507.98,2246,624,419,401,0.278,0.0464,0.1927,0.0542,,,1260000,,,,,0.689162881,0.76875,0.782535684,0.783625731,0.002,0.229,0,0.685,-120,78,181,655,-20,52,-35,514,0.338746662,0.620447399,0.613035939,,,,,
2017/3/30,4918,アイビー化粧品,もうすぐストップ高TEST,2,4,100,8440,8440,9900,8400,9330,1261698,9900,9410,9320,-836,"187,692",,"79,400",-836,"28,092",,"80,200",4,"4,918",化学工業,0,"9,500",13,"135,700","6,940.0～9,940.0",71,78,化学,100,,.t&,JASDAQスタンダード,,,,,,0,"29,884",3,2017/3/25 11:03,17400,15995,187.30145,3.42,5890,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年3月期,日本方式,42502,12か月,5163,630,625,349,17.65,---,146.12,5651,2897,804,1402,0.513,0.0624,0.1236,0.1118,,2015年3月期,日本方式,42137,12か月,4488,369,375,235,11.05,---,138.64,5526,2749,804,1586,0.497,0.0416,0.0811,0.0664,,,2552000,,,,,0.725021349,0.648296593,0.697413793,0.742290749,0,0.253,0,0.664,261,-50,-326,1459,400,-49,-167,1572,0.338746662,0.620447399,0.613035939,,,,,
2017/3/30,6336,石井表記,もうすぐストップ高TEST,2,5,0,894,924,1016,923,980,332947,1016,900,895,"-43,667","144,025",,"79,400","-43,667","-15,575",,"80,200",5,"6,336",機械,0,984,10,"340,700","744.0～1,044.0",60,65,,,,.t&,,,,,,,0,"5,813",,2017/3/25 10:30,794,72480,51.53328,0,396,,,,,,,,,,,,,,,,,,,,,,,,,,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8176452,,,,,0.486638537,0.901808786,0.919831224,0.919831224,0.007,0.252,0,0.52,-1520,398,1564,2198,-339,-708,1092,1662,,,,,,,,
2017/3/31,2930,達人,もうすぐストップ高TEST,,1,500,747,837,883,777,874,2868588,883,870,900,"14,574","158,599",,"79,400","14,574","-1,001",,"80,200",1,"2,930",食品,0,877,17,"3,408,400",597.0～897.0,87,81,食料品,100,,.t&,"東証1部,札幌",,,,,,9,"14,099",2,2017/3/25 8:24,647,579225,736.7742,0.75,456,,,,,,,,,,,,,,,,,,,,,,,,,,前期,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,11084000,,,,,0.683962264,0.938189845,0.938189845,0.941391941,0.001,0.15,0,0.819,168,-8,308,748,82,12,-2,280,0.202294387,0.713107226,0.721133131,0.612712153,0.353744848,2000,,
2017/3/31,2185,（株）シイエム・シイ,もうすぐストップ高TEST,2,2,100,3680,3750,4280,3750,4070,23828,4280,4070,4180,"13,214","171,812",,"79,400","13,214","12,212",,"80,200",2,"2,185",サービス業,0,"4,215",15,"6,000","2,980.0～4,380.0",76,15,サービス業,100,,.t&,JASDAQスタンダード,,,,,,0,"8,858",9,2017/3/25 12:28,3655,925,3.4225,2.3,2745,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年9月期,日本方式,42683,12か月,16499,1371,1328,771,325.08,313.02,4728.95,14846,11320,657,117,0.762,0.0509,0.0695,0.0876,,2015年9月期,日本方式,42318,12か月,17323,1859,1939,1002,430.72,404.76,4591.49,15468,10883,637,15,0.704,0.0684,0.0964,0.1323,,,2394000,,,,,0.211081081,0.943411479,0.949928469,0.617021277,0.009,0.164,0,0.659,500,-408,-183,3589,1898,-301,-138,3599,0.338746662,0.620447399,0.613035939,0.494387698,0.443532093,748,2017/2/1,2017/2/5 18:08
2017/3/31,6338,タカトリ,もうすぐストップ高TEST,1,3,0,821,860,944,860,921,118628,944,912,897,"-13,329","158,483",,"79,400","-13,329","-1,117",,"80,200",3,"6,338",機械,0,934,14,"128,100",671.0～971.0,75,53,,,,.t&,,,,,,,7,"4,541",,2017/3/25 10:30,831,116905,96.680435,1.21,808,,,,,,,,,,,,,,,,,,,,,,,,,,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5491490,,,,,0.322853688,0.405325444,0.266195524,0.421541318,0.008,0.227,0,0.377,-1243,-249,-428,489,891,257,610,2410,,,,,,,2017/3/1,2017/3/12 18:05
2017/3/31,4595,ミズホメディ,もうすぐストップ高,,4,100,4100,4130,4750,4105,4585,350320,4800,4770,4730,"14,200","172,683",,"79,400",,"-1,117","14,200","94,400",4,"4,595",医薬品,0,"4,585",12,"78,900","3,400.0～4,800.0",69,87,医薬品,100,,.t&,JASDAQスタンダード,,,,,,"1,536","9,728",12,2017/3/25 8:01,4015,65585,267.914725,1.57,2230,,,,,,,,,,,,,,,,,,,,,,,,,,前期,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,2381400,,,,,0.544675643,0.877378436,0.894927536,0.901192504,0.003,0.152,0.001,0.764,17,-61,46,41,215,-42,-167,38,0.338746662,0.620447399,0.613035939,0.494387698,0.443532093,748,,
2017/3/31,3271,（株）ＴＨＥグローバル社,もうすぐストップ高TEST,1,5,800,485,494,543,490,531,234065,543,533,530,"-1,242","171,441",,"79,400","-1,242","-2,359",,"94,400",5,"3,271",不動産,0,538,11,"438,900",405.0～565.0,66,8,不動産業,100,,.t&,東証1部,,,,,,11,"6,438",6,2017/3/25 11:53,482,28590,13.66602,3.56,451,,,,,,,,,,,,,,,,,,,,,,,,,,前期,2016年6月期,日本方式,42590,12か月,25800,1725,1340,944,71.46,68.57,498.18,26802,6666,392,17545,0.249,0.0386,0.1501,0.0547,,2015年6月期,日本方式,42221,12か月,27478,1081,845,309,23.52,22.42,447.87,22170,5909,389,12979,0.267,0.0128,0.0528,0.035,,,13468600,,,,,0.066945607,0.94,0.821138211,0.457013575,0.229,0.059,0,0.659,-3641,33,3818,3081,88,-336,1699,2852,0.202294387,0.713107226,0.721133131,0.612712153,0.353744848,2000,2017/2/1,2017/2/19 17:58
